GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	SLIMMED FROM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q9FRZ0	ZmRR5	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9FRZ1	ZmRR4	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9FRZ1	ZmRR4	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:12856940		4577	AgBase		P
UniProtKB	Q9FXQ7	ZmRR3	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9FXQ7	ZmRR3	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9FYS5	HMGIY2	located_in	GO:0005730	GO:0005730	nucleolus	ECO:0000314	IDA	PMID:19781672		4577	UniProt		C
UniProtKB	Q9S7U8	ZmRR2	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9S7U8	ZmRR2	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:10608665		4577	AgBase		P
UniProtKB	Q9SLX1	ZmHP2	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9SLX1	ZmHP2	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9SLX1	ZmHP2	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:12856940		4577	AgBase		P
UniProtKB	Q9SLX1	ZmHP2	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:10608665		4577	AgBase		P
UniProtKB	Q9ST01	ZmHP1	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9ST01	ZmHP1	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9ST01	ZmHP1	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:12856940		4577	AgBase		P
UniProtKB	Q9XF14	BSD2	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:10330470		4577	UniProt		C
UniProtKB	Q9XF58	PIP2-5	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q9XF59	PIP1-2	located_in	GO:0005783	GO:0005783	endoplasmic reticulum	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q9XF59	PIP1-2	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q9XF59	PIP1-2	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q9XFJ8	TATA	located_in	GO:0009579	GO:0009535	chloroplast thylakoid membrane	ECO:0000314	IDA	PMID:10525534		4577	UniProt		C
UniProtKB	Q9XFJ8	TATA	located_in	GO:0009507	GO:0009535	chloroplast thylakoid membrane	ECO:0000314	IDA	PMID:10525534		4577	UniProt		C
UniProtKB	Q9XFJ8	TATA	located_in	GO:0016020	GO:0009535	chloroplast thylakoid membrane	ECO:0000314	IDA	PMID:10525534		4577	UniProt		C
UniProtKB	Q9XFJ8	TATA	located_in	GO:0009579	GO:0042651	thylakoid membrane	ECO:0000314	IDA	PMID:10525534		4577	UniProt		C
UniProtKB	Q9XFJ8	TATA	located_in	GO:0016020	GO:0042651	thylakoid membrane	ECO:0000314	IDA	PMID:10525534		4577	UniProt		C
UniProtKB	Q9XFJ8	TATA	involved_in	GO:0005622	GO:0045038	protein import into chloroplast thylakoid membrane	ECO:0000315	IMP	PMID:10525534		4577	UniProt		P
UniProtKB	Q9ZQW0	ZmRR1	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9ZQW0	ZmRR1	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:12856940		4577	AgBase		P
UniProtKB	Q9ZQW0	ZmRR1	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:10608665		4577	AgBase		P
UniProtKB	Q9ZQY0	Q9ZQY0	located_in	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:9952460		4577	AgBase		C
UniProtKB	Q9ZQY2	542483	located_in	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:9952460		4577	AgBase		C
UniProtKB	Q9ZR86	Q9ZR86	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:9808743		4577	AgBase		C
