GOID,ONTOLOGY,TERM,LINK
GO:0000224,MF,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,http://purl.obolibrary.org/obo/GO_0000224
GO:0000225,MF,N-acetylglucosaminylphosphatidylinositol deacetylase activity,http://purl.obolibrary.org/obo/GO_0000225
GO:0000226,BP,microtubule cytoskeleton organization,http://purl.obolibrary.org/obo/GO_0000226
GO:0000228,CC,nuclear chromosome,http://purl.obolibrary.org/obo/GO_0000228
GO:0000234,MF,phosphoethanolamine N-methyltransferase activity,http://purl.obolibrary.org/obo/GO_0000234
GO:0000235,CC,astral microtubule,http://purl.obolibrary.org/obo/GO_0000235
GO:0000243,CC,commitment complex,http://purl.obolibrary.org/obo/GO_0000243
GO:0000244,BP,spliceosomal tri-snRNP complex assembly,http://purl.obolibrary.org/obo/GO_0000244
GO:0000245,BP,spliceosomal complex assembly,http://purl.obolibrary.org/obo/GO_0000245
GO:0000247,MF,C-8 sterol isomerase activity,http://purl.obolibrary.org/obo/GO_0000247
GO:0000248,MF,C-5 sterol desaturase activity,http://purl.obolibrary.org/obo/GO_0000248
GO:0000249,MF,C-22 sterol desaturase activity,http://purl.obolibrary.org/obo/GO_0000249
GO:0000250,MF,lanosterol synthase activity,http://purl.obolibrary.org/obo/GO_0000250
GO:0000254,MF,C-4 methylsterol oxidase activity,http://purl.obolibrary.org/obo/GO_0000254
GO:0000255,BP,allantoin metabolic process,http://purl.obolibrary.org/obo/GO_0000255
GO:0000256,BP,allantoin catabolic process,http://purl.obolibrary.org/obo/GO_0000256
GO:0000257,MF,nitrilase activity,http://purl.obolibrary.org/obo/GO_0000257
GO:0000262,CC,mitochondrial chromosome,http://purl.obolibrary.org/obo/GO_0000262
GO:0000266,BP,mitochondrial fission,http://purl.obolibrary.org/obo/GO_0000266
GO:0000268,MF,peroxisome targeting sequence binding,http://purl.obolibrary.org/obo/GO_0000268
GO:0000270,BP,peptidoglycan metabolic process,http://purl.obolibrary.org/obo/GO_0000270
GO:0000271,BP,polysaccharide biosynthetic process,http://purl.obolibrary.org/obo/GO_0000271
GO:0000272,BP,polysaccharide catabolic process,http://purl.obolibrary.org/obo/GO_0000272
GO:0000274,CC,"mitochondrial proton-transporting ATP synthase, stator stalk",http://purl.obolibrary.org/obo/GO_0000274
GO:0000275,CC,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",http://purl.obolibrary.org/obo/GO_0000275
GO:0000276,CC,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",http://purl.obolibrary.org/obo/GO_0000276
GO:0000278,BP,mitotic cell cycle,http://purl.obolibrary.org/obo/GO_0000278
GO:0000280,BP,nuclear division,http://purl.obolibrary.org/obo/GO_0000280
GO:0000281,BP,mitotic cytokinesis,http://purl.obolibrary.org/obo/GO_0000281
GO:0000285,MF,1-phosphatidylinositol-3-phosphate 5-kinase activity,http://purl.obolibrary.org/obo/GO_0000285
GO:0000287,MF,magnesium ion binding,http://purl.obolibrary.org/obo/GO_0000287
GO:0000288,BP,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",http://purl.obolibrary.org/obo/GO_0000288
GO:0000289,BP,nuclear-transcribed mRNA poly(A) tail shortening,http://purl.obolibrary.org/obo/GO_0000289
