GOID,ONTOLOGY,TERM,LINK
GO:1901576,biological_process,organic substance biosynthetic process,http://purl.obolibrary.org/obo/GO_1901576
GO:1901575,biological_process,organic substance catabolic process,http://purl.obolibrary.org/obo/GO_1901575
GO:0072348,biological_process,sulfur compound transport,http://purl.obolibrary.org/obo/GO_0072348
GO:0032787,biological_process,monocarboxylic acid metabolic process,http://purl.obolibrary.org/obo/GO_0032787
GO:0042723,biological_process,thiamine-containing compound metabolic process,http://purl.obolibrary.org/obo/GO_0042723
GO:0042724,biological_process,thiamine-containing compound biosynthetic process,http://purl.obolibrary.org/obo/GO_0042724
GO:0042758,biological_process,long-chain fatty acid catabolic process,http://purl.obolibrary.org/obo/GO_0042758
GO:0035461,biological_process,vitamin transmembrane transport,http://purl.obolibrary.org/obo/GO_0035461
GO:0008380,biological_process,RNA splicing,http://purl.obolibrary.org/obo/GO_0008380
GO:0045339,biological_process,farnesyl diphosphate catabolic process,http://purl.obolibrary.org/obo/GO_0045339
GO:0045338,biological_process,farnesyl diphosphate metabolic process,http://purl.obolibrary.org/obo/GO_0045338
GO:0003002,biological_process,regionalization,http://purl.obolibrary.org/obo/GO_0003002
GO:0042594,biological_process,response to starvation,http://purl.obolibrary.org/obo/GO_0042594
GO:0030974,biological_process,thiamine pyrophosphate transmembrane transport,http://purl.obolibrary.org/obo/GO_0030974
GO:0052314,biological_process,phytoalexin metabolic process,http://purl.obolibrary.org/obo/GO_0052314
GO:0052315,biological_process,phytoalexin biosynthetic process,http://purl.obolibrary.org/obo/GO_0052315
GO:0015697,biological_process,quaternary ammonium group transport,http://purl.obolibrary.org/obo/GO_0015697
GO:0015695,biological_process,organic cation transport,http://purl.obolibrary.org/obo/GO_0015695
GO:0070887,biological_process,cellular response to chemical stimulus,http://purl.obolibrary.org/obo/GO_0070887
GO:0008610,biological_process,lipid biosynthetic process,http://purl.obolibrary.org/obo/GO_0008610
GO:0008655,biological_process,pyrimidine-containing compound salvage,http://purl.obolibrary.org/obo/GO_0008655
GO:0070542,biological_process,response to fatty acid,http://purl.obolibrary.org/obo/GO_0070542
GO:0006139,biological_process,nucleobase-containing compound metabolic process,http://purl.obolibrary.org/obo/GO_0006139
GO:0044706,biological_process,multi-multicellular organism process,http://purl.obolibrary.org/obo/GO_0044706
GO:0019827,biological_process,stem cell population maintenance,http://purl.obolibrary.org/obo/GO_0019827
GO:0032870,biological_process,cellular response to hormone stimulus,http://purl.obolibrary.org/obo/GO_0032870
GO:0042542,biological_process,response to hydrogen peroxide,http://purl.obolibrary.org/obo/GO_0042542
GO:0003006,biological_process,developmental process involved in reproduction,http://purl.obolibrary.org/obo/GO_0003006
